theta:2.924364E-01, phi:4.829397E+00, threshold:nil, Time: nil
theta:2.924364E-01, phi:4.829397E+00, threshold:4.108838E-04, Time: 694.530066
theta:1.733533E-01, phi:5.149940E-01, threshold:nil, Time: nil
theta:1.733533E-01, phi:5.149940E-01, threshold:4.108838E-04, Time: 641.688508
theta:2.830345E+00, phi:9.927019E-01, threshold:4.249826E-04, Time: 319.667402
theta:8.097613E-01, phi:5.402666E+00, threshold:7.574233E-06, Time: 666.318123
theta:3.109550E+00, phi:5.175664E+00, threshold:4.625595E-04, Time: 320.290895
theta:3.013602E+00, phi:4.575336E+00, threshold:4.548099E-04, Time: 320.063793
theta:2.098534E+00, phi:1.557196E+00, threshold:1.763610E-04, Time: 400.146041
theta:2.323912E-01, phi:4.906577E+00, threshold:nil, Time: nil
theta:2.323912E-01, phi:4.906577E+00, threshold:1.763610E-04, Time: 586.737390
theta:1.069838E+00, phi:5.149279E+00, threshold:1.946956E-05, Time: 829.101181
theta:2.673522E+00, phi:3.636018E-01, threshold:4.145223E-04, Time: 321.096758
theta:1.304012E+00, phi:2.407034E+00, threshold:4.565364E-05, Time: 453.448636
theta:3.825569E-02, phi:4.042778E+00, threshold:nil, Time: nil
theta:3.825569E-02, phi:4.042778E+00, threshold:4.565364E-05, Time: 638.957694
theta:1.021421E-01, phi:1.424705E+00, threshold:nil, Time: nil
theta:1.021421E-01, phi:1.424705E+00, threshold:4.565364E-05, Time: 615.263797
theta:2.255798E-01, phi:3.163219E+00, threshold:nil, Time: nil
theta:2.255798E-01, phi:3.163219E+00, threshold:4.565364E-05, Time: 668.720474
theta:1.965323E+00, phi:2.079085E+00, threshold:1.562888E-04, Time: 399.522430
theta:2.594103E-01, phi:5.694553E+00, threshold:nil, Time: nil
theta:2.594103E-01, phi:5.694553E+00, threshold:1.562888E-04, Time: 641.589741
theta:2.351888E+00, phi:3.017736E+00, threshold:3.478040E-04, Time: 374.402409
theta:9.009943E-01, phi:6.296347E-01, threshold:1.216173E-05, Time: 906.947444
theta:1.113076E+00, phi:4.710145E-01, threshold:2.866002E-05, Time: 481.136536
theta:1.997433E+00, phi:2.814585E+00, threshold:2.276076E-04, Time: 506.938558
theta:5.074287E-01, phi:1.901583E+00, threshold:1.227514E-06, Time: 827.258176
theta:1.801341E-01, phi:4.660216E+00, threshold:nil, Time: nil
theta:1.801341E-01, phi:4.660216E+00, threshold:1.227514E-06, Time: 641.754544
theta:1.951284E+00, phi:8.225355E-01, threshold:1.691666E-04, Time: 479.574922
theta:2.133771E+00, phi:5.342582E+00, threshold:2.118847E-04, Time: 373.049888
theta:2.301429E+00, phi:6.231675E+00, threshold:3.353620E-04, Time: 347.933966
theta:1.368217E+00, phi:3.139747E+00, threshold:6.983879E-05, Time: 507.362225
theta:2.885452E+00, phi:5.048946E+00, threshold:4.331435E-04, Time: 320.574229
theta:2.812624E-01, phi:4.355512E+00, threshold:nil, Time: nil
theta:2.812624E-01, phi:4.355512E+00, threshold:4.331435E-04, Time: 642.355659
theta:1.086675E+00, phi:3.328994E-01, threshold:2.736637E-05, Time: 507.532518
theta:2.207636E+00, phi:5.202487E+00, threshold:2.243720E-04, Time: 374.396259
theta:2.016247E+00, phi:1.390393E+00, threshold:1.563977E-04, Time: 508.166338
theta:1.268876E+00, phi:1.545608E+00, threshold:3.288709E-05, Time: 482.250210
theta:2.327039E+00, phi:3.052657E+00, threshold:3.418793E-04, Time: 346.635204
theta:3.283677E-01, phi:5.688332E-01, threshold:2.347821E-07, Time: 803.158224
theta:1.970440E+00, phi:4.031353E+00, threshold:1.690996E-04, Time: 426.482580
theta:2.928125E+00, phi:1.547043E+00, threshold:4.404786E-04, Time: 320.612362
theta:2.752823E+00, phi:3.463568E+00, threshold:4.303456E-04, Time: 319.313917
theta:7.350353E-01, phi:5.350991E+00, threshold:5.205538E-06, Time: 693.741020
theta:2.626064E+00, phi:4.906282E+00, threshold:3.538200E-04, Time: 507.430017
theta:1.607293E+00, phi:3.176137E-01, threshold:1.162988E-04, Time: 426.640563
theta:2.433624E+00, phi:5.861571E+00, threshold:3.528715E-04, Time: 480.892250
theta:2.541018E+00, phi:5.130200E+00, threshold:3.319478E-04, Time: 348.133118
theta:2.361246E+00, phi:1.363646E+00, threshold:2.611293E-04, Time: 431.728485
theta:2.177846E+00, phi:3.924568E+00, threshold:2.394260E-04, Time: 508.648660
theta:2.776594E+00, phi:1.303476E+00, threshold:4.039161E-04, Time: 347.934432
theta:3.790724E-01, phi:2.538013E+00, threshold:4.141937E-07, Time: 1122.919450
